msoa_code,imd15_score
E02001392,12.22
E02001393,7.52
E02001394,25.48
E02001395,13.22
E02001396,39.77
E02001397,24.65
E02001398,28.23
E02001399,11.62
E02001400,31.69
E02001401,19.33
E02001402,15.44
E02001403,41.41
E02001404,46.66
E02001405,58.79
E02001406,11.93
E02001407,12.39
E02001408,14.59
E02001409,31.20
E02001410,30.20
E02001411,22.79
E02001412,21.46
E02001413,26.09
E02001414,6.33
E02001415,31.00
E02001416,52.90
E02001417,54.89
E02001418,37.52
E02001419,57.62
E02001420,26.53
E02001421,28.07
E02001422,52.60
E02001423,15.92
E02001424,36.74
E02001425,30.71
E02001426,20.47
E02001427,36.74
E02001428,11.63
E02001429,16.54
E02001430,11.69
E02001431,20.97
E02001432,45.83
E02001433,23.67
E02001434,21.14
E02001435,28.18
E02001436,19.17
E02001437,14.09
E02001438,13.73
E02001439,24.46
E02001440,7.64
E02001441,6.10
E02001442,9.88
E02001443,6.66
E02001444,11.81
E02001445,10.92
E02001446,13.41
E02001447,14.57
E02001448,12.51
E02001449,19.72
E02001450,9.28
E02001451,47.40
E02001452,52.27
E02001453,11.57
E02001454,19.02
E02001455,19.09
E02001456,17.72
E02001457,45.39
E02001458,23.05
E02001459,33.13
E02001460,43.86
E02001461,22.35
E02001462,57.64
E02001463,44.08
E02001464,58.90
E02001465,68.31
E02001466,47.88
E02001467,30.15
E02001468,31.91
E02001469,14.69
E02001470,13.75
E02001471,45.74
E02001472,25.34
E02001473,26.22
E02001474,61.34
E02001475,49.95
E02001476,51.05
E02001477,65.80
E02001478,30.76
E02001479,10.23
E02001480,12.91
E02001481,24.76
E02001482,74.40
E02001483,13.30
E02001484,17.04
E02001485,40.55
E02001486,26.32
E02001487,54.28
E02001488,30.93
E02001489,7.08
E02001490,12.78
E02001491,46.42
E02001492,14.85
E02001493,58.53
E02001494,5.99
E02001495,29.31
E02001496,16.06
E02001497,43.39
E02001498,14.80
E02001499,10.12
E02001500,12.53
E02001501,12.11
E02001502,18.68
E02001503,12.91
E02001504,7.52
E02001505,22.65
E02001506,3.82
E02001507,5.80
E02001508,21.35
E02001509,26.13
E02001510,31.64
E02001511,25.96
E02001512,19.94
E02001513,14.19
E02001514,40.70
E02001515,48.49
E02001516,31.86
E02001517,22.09
E02001518,24.89
E02001519,41.10
E02001520,13.02
E02001521,31.34
E02001522,50.45
E02001523,23.13
E02001524,7.79
E02001525,51.97
E02001526,50.57
E02001527,18.92
E02001528,32.29
E02001529,39.97
E02001530,49.51
E02001531,37.61
E02001532,10.68
E02001533,35.18
E02001534,27.42
E02001535,13.16
E02001536,20.10
E02001537,24.52
E02001538,30.25
E02001539,36.51
E02001540,29.73
E02001541,28.36
E02001542,46.94
E02001543,33.76
E02001544,30.60
E02001545,11.70
E02001546,18.82
E02001547,35.04
E02001548,47.83
E02001549,14.58
E02001550,22.31
E02001551,27.51
E02001552,25.68
E02001553,31.28
E02001554,13.41
E02001555,14.73
E02001556,36.35
E02001557,30.50
E02001558,17.49
E02001559,10.51
E02001560,52.98
E02001561,45.67
E02001562,29.84
E02001563,15.27
E02001564,7.84
E02001565,9.58
E02001566,34.45
E02001567,34.56
E02001568,39.90
E02001569,43.57
E02001570,52.18
E02001571,18.27
E02001572,37.10
E02001573,31.83
E02001574,16.01
E02001575,39.92
E02001576,15.02
E02001577,12.42
E02001578,25.57
E02001579,28.65
E02001580,22.88
E02001581,29.01
E02001582,29.30
E02001583,27.41
E02001584,11.54
E02001585,41.13
