date,geography,geography code,Rural Urban,Distance travelled to work: All categories: Distance travelled to work; measures: Value,Distance travelled to work: Less than 2km; measures: Value,Distance travelled to work: 2km to less than 5km; measures: Value,Distance travelled to work: 5km to less than 10km; measures: Value,Distance travelled to work: 10km to less than 20km; measures: Value,Distance travelled to work: 20km to less than 30km; measures: Value,Distance travelled to work: 30km to less than 40km; measures: Value,Distance travelled to work: 40km to less than 60km; measures: Value,Distance travelled to work: 60km and over; measures: Value,Distance travelled to work: Work mainly at or from home; measures: Value,Distance travelled to work: Other; measures: Value,Distance travelled to work: Total distance (km); measures: Value,Distance travelled to work: Average distance (km); measures: Value
2011,Derbyshire Dales,E07000035,Total,35005,5567,3426,4057,6306,3306,1271,824,1053,6390,2805,454261.5,17.6
2011,Erewash,E07000036,Total,54851,9771,8631,11388,11443,1756,762,854,1830,4621,3795,626124.2,13.5
2011,High Peak,E07000037,Total,45618,9661,4869,5459,8712,4201,1433,1060,1130,5494,3599,572021.4,15.7
2011,North East Derbyshire,E07000038,Total,46858,5405,6824,10706,9438,2494,947,1010,1573,4680,3781,609433.8,15.9
2011,South Derbyshire,E07000039,Total,47886,5974,5630,11556,8820,2616,1958,1528,1472,5083,3249,648450.7,16.4
2011,Blaby,E07000129,Total,48276,5631,9861,12342,6559,1808,1085,1205,1313,4795,3677,526609.2,13.2
2011,Charnwood,E07000130,Total,79572,13917,12816,15970,14343,3945,1374,1444,2617,7925,5221,934961,14.1
2011,Harborough,E07000131,Total,44079,6573,3176,6557,9419,4340,1299,1240,1781,6408,3286,622328.7,18.1
2011,Hinckley and Bosworth,E07000132,Total,53774,8279,6895,8138,13008,3383,1790,1158,1464,5814,3845,664833.1,15.1
2011,Melton,E07000133,Total,26184,5633,2332,2479,3970,3738,1016,768,926,3489,1833,372639.4,17.9
2011,North West Leicestershire,E07000134,Total,46291,7004,6875,6415,9515,3824,1641,1194,1413,4979,3431,613208.1,16.2
2011,Oadby and Wigston,E07000135,Total,26399,4071,5669,8087,1865,900,528,610,772,2187,1710,269799.9,12
2011,Boston,E07000136,Total,30807,7574,5560,3905,3720,2085,578,992,803,2831,2759,337031.1,13.4
2011,East Lindsey,E07000137,Total,56311,12642,4194,6686,8225,4731,2657,1959,1908,8626,4683,783281.6,18.2
2011,Lincoln,E07000138,Total,44599,11811,12449,5073,1947,3020,853,1397,1735,3088,3226,531310.9,13.9
2011,North Kesteven,E07000139,Total,52428,7009,6598,10381,8087,5088,1429,1396,2391,5933,4116,828026.1,19.5
2011,South Holland,E07000140,Total,41490,6672,6438,4599,7632,3969,1278,851,1707,4954,3390,574077.8,17.3
2011,South Kesteven,E07000141,Total,66532,13584,8145,4905,11797,5616,3249,2655,3633,7971,4977,1104286,20.6
2011,West Lindsey,E07000142,Total,41968,6067,3513,6483,7927,4504,1675,1260,1773,5681,3085,658903.9,19.8
2011,Corby,E07000150,Total,30688,7045,9418,3518,2587,1258,1232,613,1308,1860,1849,415083.5,15.4
2011,Daventry,E07000151,Total,39536,5900,3558,5149,7823,3512,1599,1208,2017,5753,3017,590881.1,19.2
2011,East Northamptonshire,E07000152,Total,43417,6649,3623,5813,8471,5214,1529,1251,2196,5196,3475,672160.7,19.3
2011,Kettering,E07000153,Total,46918,9338,7353,6496,8266,2902,1551,934,2113,4541,3424,614964.2,15.8
2011,Northampton,E07000154,Total,106792,18657,31694,16628,7510,6775,1712,2154,4929,8457,8276,1234999.7,13.7
2011,South Northamptonshire,E07000155,Total,45740,4802,3165,7446,9300,4138,2003,1535,2789,6786,3776,725730.4,20.6
2011,Wellingborough,E07000156,Total,36363,6215,6075,5283,7266,2018,898,810,1783,3324,2691,495423,16.3
2011,Ashfield,E07000170,Total,55336,9193,11190,11339,9081,2942,937,698,1796,4177,3983,647984.9,13.7
2011,Bassetlaw,E07000171,Total,52814,10430,7300,6032,9039,5052,2034,1611,2150,5525,3641,767152.1,17.6
2011,Broxtowe,E07000172,Total,53185,7862,10279,13676,7865,1387,891,778,2268,4688,3491,654742.4,14.5
2011,Gedling,E07000173,Total,55598,7250,12246,14672,6741,2036,774,726,1826,5150,4177,615772.3,13.3
2011,Mansfield,E07000174,Total,48361,8281,10598,8253,6672,3959,1065,537,1651,3613,3732,594237.7,14.5
2011,Newark and Sherwood,E07000175,Total,54555,9116,7265,5681,9888,6214,1991,1130,2248,6943,4079,818426.8,18.8
2011,Rushcliffe,E07000176,Total,55346,6242,8558,10804,9914,3533,1531,963,2701,7416,3684,798478.4,18
2011,"Herefordshire, County of",E06000019,Total,90237,17872,13215,10050,11752,6004,2393,2117,3523,15123,8188,1118280.6,16.7
2011,Shropshire,E06000051,Total,150748,28113,18830,15802,21518,15321,5774,4640,5989,22808,11953,2166748.1,18.7
2011,Stoke-on-Trent,E06000021,Total,108109,19827,29878,23885,9578,3937,1258,2409,2906,6933,7498,1104251.3,11.8
2011,Telford and Wrekin,E06000020,Total,78372,13034,19164,14976,7466,4937,2284,2237,2955,6331,4988,1023212.6,15.3
2011,Cannock Chase,E07000192,Total,47476,7692,7743,5820,10813,4062,1249,725,1183,3753,4436,581585.1,14.8
2011,East Staffordshire,E07000193,Total,54921,11510,10969,6171,7849,3849,2218,1519,1474,5555,3807,662763.5,14.5
2011,Lichfield,E07000194,Total,49016,6607,4603,7846,10154,5867,1511,1040,1461,6145,3782,682539.6,17.5
2011,Newcastle-under-Lyme,E07000195,Total,57366,8788,14058,11746,7006,2446,891,1581,1914,4982,3954,681637,14.1
2011,South Staffordshire,E07000196,Total,53328,5047,6291,13268,10582,4355,1320,890,1459,5996,4120,685148.4,15.9
2011,Stafford,E07000197,Total,64494,11597,11646,7964,10060,5295,2363,1669,2129,7722,4049,844710.6,16
2011,Staffordshire Moorlands,E07000198,Total,47591,7319,4064,9026,11509,2319,1209,1344,1325,5919,3557,597191.9,15.7
2011,Tamworth,E07000199,Total,38281,6622,9269,3125,6570,4455,1138,602,1034,2789,2677,476735.7,14.5
